_info,unitPrice,skuId,meterId
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Reservation, SQLDB_HyperScale_Compute_Gen5, 1 Year",1144.0,DZH318Z0BXXX/010R,0443a95d-d288-4277-9edb-97dcae9a9491
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_14",2.812964,DZH318Z0BXXX/01BF,0443a95d-d288-4277-9edb-97dcae9a9491
"SQL Database Single Premium RS, PRS2, PRS2 DTU, SQL Database, Databases, 1/Day, Consumption",7.5,DZH318Z0BQH0/00LV,295278f9-a44f-489c-a20c-171c28a7683d
"SQL Database Single/Elastic Pool Business Critical - Storage, Business Critical, Business Critical IO Rate Operations, SQL Database, Databases, 1M, Consumption",0.238,DZH318Z0BQDS/000R,2929d6d1-c8df-4375-ba27-fb6960b77a3f
"SQL Database Single Premium RS, PRS6 Secondary Active, PRS6 Secondary Active DTU, SQL Database, Databases, 1/Day, Consumption",30.0,DZH318Z0BQH0/00MG,2694c060-6920-4883-89c6-0e51d6f6f7a6
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.792,DZH318Z08M0H/007L,21ba2559-e85e-5aff-9a50-86b5791b25eb
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_48",8.037072,DZH318Z0BPXL/00HL,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 10 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_10",1.67439,DZH318Z0BPXL/02L2,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_1",0.167439,DZH318Z0BPXL/00ZL,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 20 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_20",3.34878,DZH318Z0BPXL/02L6,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_8",1.339512,DZH318Z0BPXL/005H,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_80",13.39512,DZH318Z0BPXL/00ZK,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_32",5.358048,DZH318Z0BPXL/009B,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 12 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_12",2.009268,DZH318Z0BPXL/02L0,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_6",1.004634,DZH318Z0BPXL/02L4,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_48",8.037072,DZH318Z0BPXL/006R,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_2",0.334878,DZH318Z0BPXL/00FP,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_80",13.39512,DZH318Z0BPXL/00Z9,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_1",0.167439,DZH318Z0BPXL/00Z8,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 18 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_18",3.013902,DZH318Z0BPXL/02L9,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 10 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_10",1.67439,DZH318Z0BPXL/02L8,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_32",5.358048,DZH318Z0BPXL/00M3,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_2",0.334878,DZH318Z0BPXL/00P4,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_40",6.69756,DZH318Z0BPXL/02KX,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_14",2.344146,DZH318Z0BPXL/02LB,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 18 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_18",3.013902,DZH318Z0BPXL/02KV,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 12 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_12",2.009268,DZH318Z0BPXL/02L7,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_40",6.69756,DZH318Z0BPXL/02L5,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_24",4.018536,DZH318Z0BPXL/00SS,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_8",1.339512,DZH318Z0BPXL/003M,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_6",1.004634,DZH318Z0BPXL/02KQ,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_GP_Compute_Gen5_14",2.344146,DZH318Z0BPXL/02KT,1cd4ee5b-2b55-4dd9-b3d9-ae1b22af74b0
