_info,unitPrice
"Azure Cosmos DB Dedicated Gateway - Memory Optimized, E2s, Azure Cosmos DB, Databases, 1 Hour, Consumption",0.284709
"Standard SSD Managed Disks, Snapshots ZRS, Storage, Storage, 1 GB/Month, Consumption",0.217
"Azure App Service Standard Plan - Linux, S1, Azure App Service, Compute, 1 Hour, Consumption",0.095
"Premium SSD Managed Disks, P3 LRS, Storage, Storage, 1/Month, Consumption",0.156
"SQL Database Single/Elastic Pool PITR Backup Storage, Backup RA-GRS, SQL Database, Databases, 1 GB/Month, Consumption",0.238
"General Block Blob v2, Cool LRS, Storage, Storage, 10K, Consumption",0.1
"Blob Storage, Cool LRS, Storage, Storage, 10K, Consumption",0.1
"SQL Database Single Premium, P6, SQL Database, Databases, 1/Day, Consumption",120.0
"Functions, Standard, Functions, Compute, 1 GB Second, Consumption",1.6e-05
"Functions, Standard, Functions, Compute, 1 GB Second, Consumption",0.0
"Azure Database for MySQL Flexible Server Burstable BS Series Compute, Standard_B2ms2, Azure Database for MySQL, Databases, 1 Hour, Consumption, B2MS",0.1592
"SQL Database Single Premium, P1 Secondary, SQL Database, Databases, 1/Day, Consumption",11.25
"Azure Database for MySQL Standard Compute, Standard, Azure Database for MySQL, Databases, 1 Hour, Consumption",0.001158
"General Block Blob v2 Hierarchical Namespace, Cold RA-GZRS, Storage, Storage, 10K, Consumption, Cold",0.494
"Azure Data Lake Storage Gen2 Hierarchical Namespace, Cold ZRS, Storage, Storage, 1/Month, Consumption, Cold",1.3
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 6 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_6",1.205556
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 18 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_18",3.616668
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 4 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_4",0.803704
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 10 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_10",2.00926
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 12 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_12",2.411112
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 1 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_1",0.200926
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 16 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_16",3.214816
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, vCore, SQL Database, Databases, 1 Hour, Reservation, SQLDB_HyperScale_Compute_Gen5, 3 Years",2376.0
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 48 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_48",9.644448
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 32 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_32",6.429632
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 40 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_40",8.03704
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 2 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_2",0.401852
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 24 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_24",4.822224
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 20 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_20",4.01852
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 80 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_80",16.07408
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 8 vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HS_Compute_Gen5_8",1.607408
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, vCore, SQL Database, Databases, 1 Hour, Consumption, SQLDB_HyperScale_Compute_Gen5",0.200926
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, vCore, SQL Database, Databases, 1 Hour, Reservation, SQLDB_HyperScale_Compute_Gen5, 1 Year",1144.0
