_info,unitPrice
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",5.358048
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.334878
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.69756
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.344146
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 18 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.013902
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 12 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.009268
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.69756
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.018536
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.339512
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.004634
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 14 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.344146
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.167439
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.669756
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.679024
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.018536
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 20 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.34878
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.679024
"SQL Database Single/Elastic Pool General Purpose - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.669756
"SQL Database Single Premium RS, PRS1 Secondary Active, PRS1 Secondary Active DTU, SQL Database, Databases, 1/Day, Consumption",3.75
"SQL Database Single Standard, S0 Secondary Active, S0 Secondary Active DTUs, SQL Database, Databases, 1/Day, Consumption",0.4839
"SQL Database SingleDB Hyperscale - Storage, Backup - ZRS, Backup - ZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.119
"SQL Database - LTR Backup Storage, Backup RA-GRS, Backup RA-GRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0595
"SQL Database Single Standard, S2, S2 DTUs, SQL Database, Databases, 1/Day, Consumption",2.42
"SQL Database Single Premium, P2 Secondary, P2 Secondary DTU, SQL Database, Databases, 1/Day, Consumption",22.5
"SQL Database Elastic Pool - Basic, 400 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",19.36
"SQL Database Elastic Pool - Basic, 800 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",38.72
"SQL Database Elastic Pool - Basic, 300 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",14.52
"SQL Database Elastic Pool - Basic, 200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",9.68
"SQL Database Elastic Pool - Basic, 100 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",4.84
"SQL Database Elastic Pool - Basic, 1200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",58.08
"SQL Database Elastic Pool - Basic, 1 DTU, eDTUs, SQL Database, Databases, 1/Day, Consumption",0.0484
"SQL Database Elastic Pool - Basic, 1600 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",77.44
"SQL Database Elastic Pool - Basic, 50 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",2.42
"SQL Database Single General Purpose - Serverless - Compute Gen5, 8 vCore, 8 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0
"SQL Database - LTR Backup Storage, Backup ZRS, Backup ZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0372
"SQL Database Single General Purpose - Serverless - Compute Gen5, 1 vCore, 1 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0
"SQL Database SingleDB Hyperscale - Storage, Hyperscale, Hyperscale Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.119
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.761
"SQL Database Single Standard, S1 Secondary, S1 Secondary DTUs, SQL Database, Databases, 1/Day, Consumption",0.73
"SQL Database Single Premium, P1, P1 DTU, SQL Database, Databases, 1/Day, Consumption",15.0
"SQL Database Single Basic, B, B DTU, SQL Database, Databases, 1/Day, Consumption",0.161
"SQL Database Single Standard, S1 Secondary Active, S1 Secondary Active DTUs, SQL Database, Databases, 1/Day, Consumption",0.9677
"SQL Database Standard - Storage, Standard, Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.221
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.583
"SQL Database Single General Purpose - Serverless - Compute Gen5, 80 vCore, 80 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0
"SQL Database Elastic Pool - Standard, 50 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",3.625
"SQL Database Elastic Pool - Standard, 1200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",87.0
"SQL Database Elastic Pool - Standard, 200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",14.5
"SQL Database Elastic Pool - Standard, 3000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",217.5
"SQL Database Elastic Pool - Standard, 300 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",21.75
"SQL Database Elastic Pool - Standard, 800 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",58.0
"SQL Database Elastic Pool - Standard, 2500 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",181.25
"SQL Database Elastic Pool - Standard, 2000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",145.0
"SQL Database Elastic Pool - Standard, 1 DTU, eDTUs, SQL Database, Databases, 1/Day, Consumption",0.0725
"SQL Database Elastic Pool - Standard, 400 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",29.0
"SQL Database Elastic Pool - Standard, 1600 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",116.0
"SQL Database Elastic Pool - Standard, 100 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",7.25
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.583
"SQL Database Single General Purpose - Serverless - Compute DC-Series, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",5.516
"SQL Database Single General Purpose - Serverless - Compute DC-Series, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.677
"SQL Database Single General Purpose - Serverless - Compute DC-Series, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.839
"SQL Database Single General Purpose - Serverless - Compute DC-Series, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.919
"SQL Database Single General Purpose - Serverless - Compute DC-Series, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",7.354
"SQL Database Single Premium, P4, P4 DTU, SQL Database, Databases, 1/Day, Consumption",60.0
"SQL Database SingleDB Hyperscale - Storage, Backup - RA-GZRS, Backup - RA-GZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.405
"SQL Database Single General Purpose - Serverless - Compute Gen5, 48 vCore, 48 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",13.39516
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 18 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.027822
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 80 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",26.79032
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 8 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.679032
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Reservation, 3 Years",3960.0
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.334879
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.334879
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",10.716128
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.339516
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.334879
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Reservation, 1 Year",1907.0
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.669758
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 12 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.018548
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 10 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.34879
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 18 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.027822
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",16.074192
"SQL Database Single/Elastic Pool Business Critical - Compute Gen5, 20 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.69758
